idinstitutie,idparinte,sectiune,an,numeinstitutie,denumireindicator,suma
12,12,840151,2013,Secretariatul General al Guvernului,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,466779
12,12,840155,2013,Secretariatul General al Guvernului,TITLUL VII ALTE TRANSFERURI,1460188
12,12,840156,2013,Secretariatul General al Guvernului,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,2257584
12,12,840165,2013,Secretariatul General al Guvernului,TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA,1508615
12,12,840179,2013,Secretariatul General al Guvernului,OPERATIUNI FINANCIARE,85174
12,12,840181,2013,Secretariatul General al Guvernului,TITLUL XVI RAMBURSARI DE CREDITE,85174
13,0,5001,2013,Ministerul Afacerilor Externe,CHELTUIELI - BUGET DE STAT,564842
13,13,500101,2013,Ministerul Afacerilor Externe,CHELTUIELI CURENTE,554584
13,13,500110,2013,Ministerul Afacerilor Externe,TITLUL I CHELTUIELI DE PERSONAL,286671
13,13,500120,2013,Ministerul Afacerilor Externe,TITLUL II BUNURI SI SERVICII,166871
13,13,500151,2013,Ministerul Afacerilor Externe,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,5430
13,13,500155,2013,Ministerul Afacerilor Externe,TITLUL VII ALTE TRANSFERURI,71654
13,13,500156,2013,Ministerul Afacerilor Externe,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,13728
13,13,500159,2013,Ministerul Afacerilor Externe,TITLUL X  ALTE CHELTUIELI,10230
13,13,500170,2013,Ministerul Afacerilor Externe,CHELTUIELI DE CAPITAL,10258
13,13,500171,2013,Ministerul Afacerilor Externe,TITLUL XII ACTIVE NEFINANCIARE,10258
13,13,5101,2013,Ministerul Afacerilor Externe,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,512703
13,13,510101,2013,Ministerul Afacerilor Externe,CHELTUIELI CURENTE,502477
13,13,510110,2013,Ministerul Afacerilor Externe,TITLUL I CHELTUIELI DE PERSONAL,270337
13,13,510120,2013,Ministerul Afacerilor Externe,TITLUL II BUNURI SI SERVICII,153884
13,13,510151,2013,Ministerul Afacerilor Externe,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,2834
13,13,510155,2013,Ministerul Afacerilor Externe,TITLUL VII ALTE TRANSFERURI,61464
13,13,510156,2013,Ministerul Afacerilor Externe,TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,13728
13,13,510159,2013,Ministerul Afacerilor Externe,TITLUL X  ALTE CHELTUIELI,230
13,13,510170,2013,Ministerul Afacerilor Externe,CHELTUIELI DE CAPITAL,10226
13,13,510171,2013,Ministerul Afacerilor Externe,TITLUL XII ACTIVE NEFINANCIARE,10226
13,13,5401,2013,Ministerul Afacerilor Externe,ALTE SERVICII PUBLICE GENERALE,9000
13,13,540101,2013,Ministerul Afacerilor Externe,CHELTUIELI CURENTE,9000
13,13,540155,2013,Ministerul Afacerilor Externe,TITLUL VII ALTE TRANSFERURI,9000
13,13,6501,2013,Ministerul Afacerilor Externe,INVATAMANT,2545
13,13,650101,2013,Ministerul Afacerilor Externe,CHELTUIELI CURENTE,2545
13,13,650151,2013,Ministerul Afacerilor Externe,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,1355
13,13,650155,2013,Ministerul Afacerilor Externe,TITLUL VII ALTE TRANSFERURI,1190
13,13,6701,2013,Ministerul Afacerilor Externe,"CULTURA, RECREERE SI RELIGIE",40594
13,13,670101,2013,Ministerul Afacerilor Externe,CHELTUIELI CURENTE,40562
13,13,670110,2013,Ministerul Afacerilor Externe,TITLUL I CHELTUIELI DE PERSONAL,16334
13,13,670120,2013,Ministerul Afacerilor Externe,TITLUL II BUNURI SI SERVICII,12987
13,13,670151,2013,Ministerul Afacerilor Externe,TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,1241
13,13,670159,2013,Ministerul Afacerilor Externe,TITLUL X  ALTE CHELTUIELI,10000
13,13,670170,2013,Ministerul Afacerilor Externe,CHELTUIELI DE CAPITAL,32
13,13,670171,2013,Ministerul Afacerilor Externe,TITLUL XII ACTIVE NEFINANCIARE,32
14,0,5001,2013,Ministerul Dezvoltarii Regionale si Administratiei Publice,CHELTUIELI - BUGET DE STAT,2179910
